	0	mean_coef
MoranAuto_Steric30	-0.056673109943389886	0.056673109943389886
MoranAuto_Steric28	0.052601023854773034	0.052601023854773034
MoranAuto_FreeEnergy23	-0.05218663300391629	0.05218663300391629
MoreauBrotoAuto_Polarizability27	0.04895523996313062	0.04895523996313062
MoreauBrotoAuto_ResidueASA23	0.04872482008305192	0.04872482008305192
MoreauBrotoAuto_ResidueASA27	0.04810850689106541	0.04810850689106541
MoreauBrotoAuto_ResidueVol26	0.04806434027472807	0.04806434027472807
MoreauBrotoAuto_Polarizability26	0.0473173999199325	0.0473173999199325
MoreauBrotoAuto_Polarizability28	0.04708546265141673	0.04708546265141673
MoreauBrotoAuto_ResidueASA28	0.046107645367071085	0.046107645367071085
MoreauBrotoAuto_Hydrophobicity28	-0.045936483903626396	0.045936483903626396
MoreauBrotoAuto_ResidueASA26	0.0458750827729906	0.0458750827729906
MoranAuto_Polarizability26	-0.045660930163504865	0.045660930163504865
MoreauBrotoAuto_Polarizability23	0.04519904448945019	0.04519904448945019
MoranAuto_ResidueASA26	-0.04494600177858496	0.04494600177858496
MoreauBrotoAuto_ResidueVol27	0.044827433417023096	0.044827433417023096
MoranAuto_FreeEnergy28	0.04322861153452815	0.04322861153452815
MoranAuto_FreeEnergy26	0.04300237745099681	0.04300237745099681
GearyAuto_Mutability29	0.042781572777191634	0.042781572777191634
MoranAuto_FreeEnergy24	0.042771293462102504	0.042771293462102504
MoranAuto_AvFlexibility30	-0.04227229359396347	0.04227229359396347
MoranAuto_Hydrophobicity28	0.04150906445221925	0.04150906445221925
MoreauBrotoAuto_ResidueVol23	0.04114813168221287	0.04114813168221287
MoreauBrotoAuto_ResidueVol28	0.04072938809651189	0.04072938809651189
GearyAuto_FreeEnergy29	0.04008364755896121	0.04008364755896121
GearyAuto_AvFlexibility30	0.040047668457173224	0.040047668457173224
MoranAuto_Mutability24	0.039671741660912814	0.039671741660912814
MoranAuto_Hydrophobicity30	-0.03964229460779426	0.03964229460779426
MoranAuto_Steric25	0.0394632386587022	0.0394632386587022
DLC	0.039056063621029674	0.039056063621029674
GearyAuto_Polarizability29	0.038883846853493824	0.038883846853493824
GearyAuto_Hydrophobicity30	0.0388753622070863	0.0388753622070863
GearyAuto_AvFlexibility29	0.03859644066324351	0.03859644066324351
GearyAuto_Steric30	0.038294173837889654	0.038294173837889654
MoreauBrotoAuto_ResidueASA29	0.03797820611943285	0.03797820611943285
GearyAuto_ResidueASA29	0.03760283254011907	0.03760283254011907
MoreauBrotoAuto_Steric25	0.03663420148478403	0.03663420148478403
MoranAuto_FreeEnergy30	0.03661536697050945	0.03661536697050945
MoreauBrotoAuto_Mutability30	-0.03586656225010321	0.03586656225010321
MoreauBrotoAuto_Polarizability29	0.03579774872440964	0.03579774872440964
GearyAuto_Hydrophobicity29	0.03461994935157893	0.03461994935157893
MoreauBrotoAuto_ResidueVol29	0.03437475859415496	0.03437475859415496
GearyAuto_ResidueVol29	0.03393886538940394	0.03393886538940394
MoranAuto_AvFlexibility26	-0.03357596532496016	0.03357596532496016
GearyAuto_Polarizability30	0.032849098742040415	0.032849098742040415
GearyAuto_ResidueASA30	0.0323207423509887	0.0323207423509887
MoreauBrotoAuto_Steric30	-0.03230761350337371	0.03230761350337371
GearyAuto_Polarizability26	0.032273869666464235	0.032273869666464235
MoreauBrotoAuto_Mutability29	-0.032242789097131935	0.032242789097131935
GearyAuto_FreeEnergy26	-0.031702869239820575	0.031702869239820575
SAM	0.03140831039514776	0.03140831039514776
GearyAuto_Steric29	0.03132570078317592	0.03132570078317592
MoreauBrotoAuto_AvFlexibility26	0.03076751113077003	0.03076751113077003
WYG	0.03048993919375204	0.03048993919375204
MoreauBrotoAuto_Hydrophobicity27	-0.030260863972434587	0.030260863972434587
GearyAuto_AvFlexibility26	0.0301604055267994	0.0301604055267994
GearyAuto_Polarizability28	0.030036388292477754	0.030036388292477754
MoranAuto_FreeEnergy27	0.0296019348037338	0.0296019348037338
GearyAuto_Mutability23	0.02952171892075336	0.02952171892075336
GearyAuto_FreeEnergy23	0.029348086571709193	0.029348086571709193
MoreauBrotoAuto_AvFlexibility29	-0.02908381768188536	0.02908381768188536
MoranAuto_AvFlexibility28	0.028998042118563435	0.028998042118563435
MoreauBrotoAuto_Hydrophobicity25	-0.02866883042689471	0.02866883042689471
GearyAuto_ResidueASA26	0.0285956076950676	0.0285956076950676
FLG	0.028594138579111188	0.028594138579111188
MoreauBrotoAuto_ResidueASA24	0.028298786922721666	0.028298786922721666
TAG	0.028168610333760506	0.028168610333760506
GearyAuto_ResidueASA28	0.02796983248093873	0.02796983248093873
MoreauBrotoAuto_Mutability27	0.02776072642262582	0.02776072642262582
DGW	0.027575132222484415	0.027575132222484415
LGF	0.027077478936995445	0.027077478936995445
AAQ	0.026931862834290842	0.026931862834290842
MoreauBrotoAuto_ResidueASA25	0.026728113712592195	0.026728113712592195
MoreauBrotoAuto_FreeEnergy23	0.026121240530358306	0.026121240530358306
TMG	0.02603100759367621	0.02603100759367621
CFC	0.02599617285019233	0.02599617285019233
GearyAuto_FreeEnergy30	0.025983032580315465	0.025983032580315465
MoranAuto_ResidueASA29	-0.025746435637267133	0.025746435637267133
MoreauBrotoAuto_FreeEnergy27	0.025557530144432555	0.025557530144432555
GearyAuto_Steric25	-0.025407277916372595	0.025407277916372595
GearyAuto_ResidueVol30	0.025008617544841953	0.025008617544841953
MGA	0.024957987058084417	0.024957987058084417
MoreauBrotoAuto_AvFlexibility21	-0.02477706411853866	0.02477706411853866
